id,name_en,name_ar,district,date_depopulated,period,population_1948,land_dunums,cause,current_localities,sources,coordinates
al_qastal,Al-Qastal,القسطل,Jerusalem,1948-04-03,1947-1949,104,1047,Military assault - Operation Nachshon,"Mevaseret Zion, Qastel Park",Khalidi 1992 p.294; Village Statistics 1945; Morris #156,"31.8006,35.1442"
deir_yassin,Deir Yassin,دير ياسين,Jerusalem,1948-04-09,1947-1949,610,2857,Massacre by Irgun and Lehi,"Givat Shaul, Har Nof",Khalidi p.289; Morris; BBC Archive,"31.7922,35.1797"
al_lifta,Lifta,لفتا,Jerusalem,1948-01-01,1947-1949,2958,8743,"Intimidation, atrocity","Mei Neftoach, Lifta Nature Reserve",Khalidi; Village Statistics 1945,"31.7953,35.1964"
al_maliha,Al-Maliha,المالحة,Jerusalem,1948-07-15,1947-1949,2250,6828,Operation Danny,"Malha, Jerusalem",Khalidi; Morris,"31.7522,35.1819"
ayn_karim,Ayn Karim,عين كارم,Jerusalem,1948-07-18,1947-1949,3689,15029,Military assault,"Ein Kerem, Hadassah",Khalidi p.273,"31.7653,35.1494"
bayt_mahsir,Bayt Mahsir,بيت محسير,Jerusalem,1948-05-10,1947-1949,2784,16268,Operation Makkabi,"Beit Meir, Mesilat Zion",Khalidi,"31.7944,35.0347"
al_qubab,Al-Qubab,القباب,Ramle,1948-05-15,1947-1949,2297,13918,Military assault,"Gezer, Kfar Bin Nun",Khalidi,"31.8667,34.9542"
aqir,Aqir,عاقر,Ramle,1948-05-06,1947-1949,2877,15825,Military assault,"Kiryat Ekron, Mazkeret Batya",Khalidi; Village Statistics,"31.8611,34.8231"
yibna,Yibna,يبنا,Ramle,1948-06-04,1947-1949,6287,59554,Operation Barak,"Yavne, Beit Raban",Khalidi,"31.8661,34.7464"
al_tira,Al-Tira,الطيرة,Haifa,1948-07-16,1947-1949,6113,45262,Military assault,Tirat Carmel,Khalidi; Morris,"32.7619,34.9753"
balad_al_sheikh,Balad al-Sheikh,بلد الشيخ,Haifa,1948-04-25,1947-1949,4779,9849,Balad al-Shaykh massacre,Nesher,Khalidi,"32.7717,35.0422"
ijzim,Ijzim,إجزم,Haifa,1948-07-24,1947-1949,3445,46905,"Operation Shoter, massacre",Kerem Maharal,Khalidi,"32.6447,34.9881"
safad_arab,Safad (Arab),صفد,Safad,1948-05-11,1947-1949,11055,4431,Operation Yiftach,Safed,Khalidi,"32.9658,35.4983"
al_kabri,Al-Kabri,الكابري,Acre,1948-05-21,1947-1949,6218,47428,"Al-Kabri massacre, Ben-Ami","Kabri, Ga'aton",Khalidi,"33.0156,35.1508"
al_bassa,Al-Bassa,البصة,Acre,1948-05-14,1947-1949,3422,29535,"Massacre, expulsion","Betzet, Rosh HaNiqra, Shlomi",Khalidi,"33.0761,35.1408"
al_majdal,Al-Majdal,المجدل,Gaza,1948-11-04,1947-1949,11496,43680,Operation Yoav,Ashkelon,Khalidi; Morris,"31.667,34.567"
isdud,Isdud,إسدود,Gaza,1948-10-28,1947-1949,5359,47871,Operation Yoav,Ashdod,Khalidi,"31.7536,34.6619"
hamama,Hamama,حمامة,Gaza,1948-11-04,1947-1949,5812,41366,Operation Yoav,"Nitzanim, Beit Ezra",Khalidi,"31.6914,34.59"
yazur,Yazur,يازور,Jaffa,1948-05-01,1947-1949,4675,11807,Operation Hametz,"Azor, Holon",Khalidi,"32.0289,34.7994"
salama,Salama,سلمة,Jaffa,1948-04-25,1947-1949,7807,6471,Operation Hametz,Tel Aviv - Kfar Shalem,Khalidi,"32.0492,34.805"
al_abbasiyya,Al-Abbasiyya,العباسية,Jaffa,1948-05-04,1947-1949,6554,20540,Military assault,"Yehud, Magshimim",Khalidi,"32.0308,34.8903"
lydda,Lydda,اللد,Ramle,1948-07-10,1947-1949,19442,23723,"Operation Danny, Lydda Death March",Lod,Khalidi; Morris; UN,"31.9519,34.8881"
ramla,Ramla,الرملة,Ramle,1948-07-10,1947-1949,17586,40567,Operation Danny,Ramla,Khalidi,"31.933,34.867"
beersheba,Beersheba,بئر السبع,Beersheba,1948-10-21,1947-1949,6461,3890,Operation Yoav,Beersheba,Khalidi,"31.2589,34.7997"
saffuriyya,Saffuriyya,صفورية,Nazareth,1948-07-16,1947-1949,5023,55378,Operation Dekel,"Zippori, Tzipori",Khalidi,"32.7456,35.2786"
lubya,Lubya,لوبيا,Tiberias,1948-07-16,1947-1949,2726,39629,Operation Dekel,"Lavi, Lavi Forest",Khalidi,"32.7758,35.4294"
al_duwayima,Al-Dawayima,الدوايمة,Hebron,1948-10-29,1947-1949,4304,60585,Al-Dawayima massacre - Operation Yoav,"Karmei Katif, Amatzia",Khalidi; Morris; UN,"31.5361,34.9119"
bayt_jibrin,Bayt Jibrin,بيت جبرين,Hebron,1948-10-29,1947-1949,2819,56185,Operation Yoav,Beit Guvrin,Khalidi,"31.6053,34.8983"
ajjur,Ajjur,عجور,Hebron,1948-07-23,1947-1949,4327,58074,Operation Yoav,"Agur, Tzafririm",Khalidi,"31.6911,34.9239"
qaqun,Qaqun,قاقون,Tulkarm,1948-06-05,1947-1949,2285,41767,Military assault,"HaMa'apil, Gan Yoshiya",Khalidi,"32.36,34.9953"
al_khalisa,Al-Khalisa,الخالصة,Safad,1948-05-11,1947-1949,1840,11280,Operation Yiftach,Kiryat Shmona,Khalidi,"33.2125,35.5658"
huj,Huj,هوج,Gaza,1948-05-31,1947-1949,1040,21000,Expulsion,"Dorot, Havat Shikmim",Khalidi,"31.5094,34.6275"
imwas,Imwas,عمواس,Ramle,1967-06-07,1967 Naksa,2008,5523,Destroyed by IDF after 1967 war,"Canada Park, Latrun",UN OCHA; Khalidi; Morris,"31.8361,34.9994"
yalu,Yalu,يالو,Ramle,1967-06-07,1967 Naksa,1644,14000,Destroyed by IDF after 1967 war,Canada Park,UN; OCHA,"31.8475,35.01"
bayt_nuba,Bayt Nuba,بيت نوبا,Ramle,1967-06-07,1967 Naksa,1730,11849,Destroyed by IDF after 1967 war,Mevo Horon,UN OCHA,"31.847,35.005"
kh_khuz_a,Khirbet Khuz'a area - ongoing,خزاعة,Gaza,2023-2024,2023-present - ongoing displacement,N/A - pattern of displacement,N/A,Ongoing military operations,N/A - buffer zone,UN OCHA oPt 2023-2026,"31.3,34.36"
